price_to_median_views_ratio,trend_momentum,extra_column,timestamp,usage_of_low_quality_products,negative_sentiment_rate,authenticity,comment_sentiment,hashtag_strategy,creator_id,past_collaborations_success,price_to_engagement_ratio,daily_profile_views,content_diversity_score,strongest_engagement_growth_post_upload,brand_risk_score,follower_count,video_quality,engagement_velocity,creator_price,trend_resonance,hook_retention_rate,upload_consistency,trend_personalization
0.108,0.584,unexpected,2025-07-20T14:38:03.717549,0.134,0.137,0.503,,0.973,06cde06c-f912-46fb-9b14-2154ec810922,,0.012,8940.801,0.633,0.404,0.024,0.0.0,0.991,NaN,3338.168,0.404,0.994,0.561,
0.062,0.967,,2025-07-20T14:38:03.717844,0.1,0.081,0.99,0.789,0.398,a6b5bfe1-b730-4da1-bc56-404bd6ffc292,0.766,0.045,15352.475,0.363,0.38,0.411,704326.675,0.667,0.198,3794.996,0.688,0.983,0.455,0.403
?,0.642,,2025-07-20T14:38:03.718024,0.0.0,0.148,0.568,0.863,,a1eb5f05-feec-4dba-b987-d2c979795be3,0.889,0.147,4853.872,0.783,?,,818111.108,0.726,0.885,4253.775,0.304,,0.895,0.639
0.156,0.323,,2025-07-20T14:38:03.718264,0.036,0.072,0.64,0.861,0.484,92017d8e-b50d-474e-b0b4-c729a006d1a8,0.412,0.287,,NaN,?,0.297,257529.593,0.923,0.6,3543.252,0.267,0.407,0.587,0.576
0.039,0.55,,2025-07-20T14:38:03.718467,0.053,0.255,0.666,0.641,0.783,544fa41a-0052-4ecb-a1c3-4131f2b8e148,0.475,0.297,,0.336,?,0.456,286656.974,0.874,0.781,4452.301,?,0.372,0.454,0.571
0.264,0.934,,2025-07-20T14:38:03.718706,0.053,0.13,0.689,0.852,0.392,807cb8a3-7350-4980-a28c-2e51f65ef865,0.795,0.089,1534.648,0.507,0.39,0.266,495255.453,0.609,0.504,2465.358,0.879,0.75,0.333,0.981
0.062,0.691,,2025-07-20T14:38:03.718890,0.009,0.199,NaN,0.629,0.301,79ffb303-779d-45c3-941a-d3bfaef650a0,0.506,0.106,?,0.572,0.366,0.239,318424.065,0.469,0.789,2279.766,0.694,0.733,0.695,NaN
0.182,0.346,unexpected,2025-07-20T14:38:03.719179,0.185,0.014,0.0.0,0.476,0.392,1a698c3a-399b-4072-8ce8-0c3bb90e3ba7,0.954,0.228,16355.523,0.812,,0.087,530587.15,0.644,0.659,188.195,0.39,0.519,0.371,0.0.0
0.056,0.574,,2025-07-20T14:38:03.719529,0.138,0.213,,0.626,0.387,3059f5f8-eff3-4139-9bfc-ce378559d80b,0.42,0.178,13125.446,0.351,0.377,0.439,,0.0.0,0.407,1977.516,0.426,0.76,0.984,?
0.018,0.302,,2025-07-20T14:38:03.719815,0.166,0.162,0.988,0.677,0.382,671dc9c6-ac46-41d9-88d4-5cf8baa2d929,NaN,0.0.0,13093.299,0.349,0.281,0.32,557419.498,0.496,0.889,NaN,NaN,0.251,0.357,0.463
0.147,0.484,,2025-07-20T14:38:03.720165,0.124,0.156,0.549,0.905,0.912,cd55280d-1c87-418a-858a-d835666acdaf,0.705,,NaN,?,0.162,0.069,467423.906,0.893,0.998,1293.668,0.319,,0.621,0.969
0.201,0.404,,2025-07-20T14:38:03.720450,0.123,0.19,,0.612,0.269,1ccf23b6-6810-4f84-b4a1-c6361b147c68,0.342,0.035,5982.299,0.784,0.558,0.0.0,0.0.0,0.571,0.649,473.969,0.244,0.782,0.759,NaN
0.041,?,,2025-07-20T14:38:03.720638,0.141,0.083,NaN,0.657,0.314,41ffcaab-b839-4a35-8bfc-9f9b741c4353,,0.048,,0.0.0,0.152,0.476,986763.409,0.927,0.951,1817.475,NaN,0.852,0.566,0.694
0.195,,,2025-07-20T14:38:03.720948,0.097,0.299,0.889,0.972,,66428920-f123-42a9-ab9c-a9f43ff407d4,0.634,0.112,2205.242,0.345,0.351,0.071,584165.054,0.603,0.864,3100.766,0.306,0.427,0.474,0.305
0.249,0.833,unexpected,2025-07-20T14:38:03.721168,0.163,0.222,0.861,0.443,0.303,baa77010-911e-4d89-be53-f47a5789fc69,0.75,0.287,12085.552,0.548,0.467,0.4,,0.461,0.59,4095.151,?,0.0.0,0.35,0.485
,0.85,,2025-07-20T14:38:03.721334,0.16,0.108,0.0.0,NaN,NaN,24c0cd9a-9b91-474d-925f-82d0dcd8c0a2,0.66,0.028,7558.897,0.965,,0.2,435865.28,0.836,0.604,1076.411,0.869,0.358,0.68,0.646
0.116,0.44,,2025-07-20T14:38:03.721582,0.08,0.033,0.889,0.461,0.679,b7591227-c48f-4045-a181-62340b088916,0.552,0.16,6521.93,0.939,0.984,0.466,217607.385,0.43,0.744,0.0.0,0.0.0,0.692,0.72,0.877
0.296,0.782,,2025-07-20T14:38:03.721877,0.031,0.188,?,0.886,0.36,cc857234-580a-40c8-a8e7-10a30a50ec3e,0.736,0.037,9636.065,0.393,0.225,0.444,211950.798,0.969,0.746,2111.764,0.869,0.118,0.989,
0.098,0.749,,2025-07-20T14:38:03.722051,0.159,0.182,0.528,0.849,0.421,f029f0bc-2429-454d-bf8c-47ebffdcc6ae,0.811,0.273,8456.691,,0.417,0.288,432265.619,0.684,0.351,2701.94,0.0.0,0.455,0.452,0.713
0.273,0.0.0,unexpected,2025-07-20T14:38:03.722321,0.002,0.083,0.754,0.605,0.676,ea966ccc-01d1-4a1b-a512-001c3cbce81c,0.967,0.134,,0.804,0.986,,910777.711,0.722,0.586,3159.212,0.0.0,0.368,0.558,0.497
0.277,0.737,,2025-07-20T14:38:03.722588,0.196,0.266,0.98,0.498,0.945,1276f2a3-74b5-47f2-ae5d-cb7508aeb00e,0.756,0.126,9698.833,0.908,0.767,0.423,847710.524,0.98,0.793,859.879,0.975,0.264,0.605,0.433
0.119,0.827,,2025-07-20T14:38:03.722825,0.152,0.06,0.896,0.747,0.333,aee77e25-7600-4a86-8c58-022229cb531a,0.546,0.053,11398.356,0.469,0.346,0.265,293447.342,0.865,0.975,2317.117,0.671,,0.608,?
NaN,0.655,,2025-07-20T14:38:03.723056,0.105,0.052,0.987,0.628,0.438,fb10f478-d42c-435b-865b-1f1f571abc10,0.999,0.027,12874.572,0.707,0.323,0.457,342130.635,0.579,0.912,3666.544,0.254,,0.498,0.542
0.193,NaN,,2025-07-20T14:38:03.723224,0.07,0.097,0.0.0,,0.949,316f2bdc-95c2-4740-8672-03886cf19e13,0.322,0.105,7182.869,,0.516,?,301614.314,,0.562,1026.897,0.556,0.671,0.718,0.313
0.231,0.252,,2025-07-20T14:38:03.723437,0.088,0.293,0.783,0.549,0.248,ac5dcf2a-9ef6-4732-b8fa-bcd9d7868e05,0.357,0.167,16079.568,0.552,0.443,0.041,0.0.0,0.599,0.699,1847.371,NaN,0.23,0.624,0.458
NaN,0.806,,2025-07-20T14:38:03.723641,NaN,0.159,0.514,0.763,0.206,44a3dbc8-c5b9-43ca-bfcc-dfb83dcbff6f,0.526,0.203,13604.989,0.904,0.691,0.209,301183.402,0.454,?,3266.311,0.618,,0.761,0.573
0.16,0.916,,2025-07-20T14:38:03.723882,0.107,0.28,0.67,0.665,0.887,23afec36-58d7-4b7f-ae94-30c24ea7f114,0.778,0.142,235.368,0.0.0,0.706,0.2,766400.398,0.572,0.836,1392.009,,0.98,0.894,?
0.054,0.572,,2025-07-20T14:38:03.724204,0.079,0.0.0,NaN,0.7,0.517,17ac137e-26b2-45d5-81b7-12e250f0a737,,0.084,4015.48,0.967,,NaN,856136.333,0.629,0.777,1096.384,0.565,0.599,0.981,0.783
0.147,0.58,,2025-07-20T14:38:03.724401,0.157,0.172,NaN,0.484,0.0.0,495f0aad-dded-470f-9813-91abc44ca717,0.593,0.219,19472.403,0.905,0.732,0.317,273365.766,0.967,0.777,523.955,0.608,0.531,0.457,0.87
0.082,0.357,,2025-07-20T14:38:03.724683,0.187,0.214,0.941,0.902,0.388,0aca90cb-3846-4198-8af5-2a2bd47de5dd,0.429,0.273,11835.605,0.671,0.695,0.408,812340.267,0.564,0.977,2903.051,0.263,0.88,0.308,
0.156,0.586,,2025-07-20T14:38:03.724940,0.062,0.067,0.75,0.961,0.614,d3f752a3-b24a-426e-a10d-b201e7eaec94,0.562,0.158,278.241,0.0.0,0.494,0.027,334455.108,?,0.207,1891.482,0.867,0.301,0.587,0.766
0.185,NaN,,2025-07-20T14:38:03.725199,0.167,0.039,0.727,0.687,0.525,1589588e-a607-4668-bbe5-e840b7f2496e,0.785,0.287,2701.326,0.808,0.582,?,206441.929,0.745,0.426,3573.828,0.39,0.683,0.632,0.653
0.117,0.281,,2025-07-20T14:38:03.725455,?,0.182,0.526,0.949,0.997,6232f0a1-0620-4c20-8de3-bd1377fa2185,,0.257,0.0.0,0.704,,,235156.699,0.731,0.172,3186.797,0.26,0.612,0.957,0.0.0
NaN,0.207,,2025-07-20T14:38:03.725709,0.0.0,0.174,0.765,0.624,,f23ced6d-9e8a-4f29-8d8b-569da7e0b40e,0.716,0.044,6262.334,0.428,0.678,0.203,378984.528,0.798,0.878,1709.923,0.821,0.702,0.9,0.0.0
0.03,0.923,,2025-07-20T14:38:03.725886,0.174,,0.879,0.66,0.0.0,663efb92-9a74-45fa-8ffd-a0e911cd8ad4,0.696,0.247,6520.06,0.543,0.53,0.004,NaN,0.941,0.764,2795.056,0.757,0.427,0.694,
?,0.966,,2025-07-20T14:38:03.726118,0.161,0.122,0.762,0.58,0.517,9f521a3f-b740-45e6-b1d4-d98bb76eb436,0.882,0.143,13799.974,0.395,0.616,0.485,668737.873,0.836,0.165,1487.705,,,0.922,0.922
0.173,0.613,,2025-07-20T14:38:03.726347,0.1,0.173,0.687,?,,09c73929-0740-4e2b-a164-4a9b7752d8f0,0.996,0.047,?,0.381,NaN,0.117,954288.308,0.414,0.182,3660.409,0.465,0.447,0.559,0.539
0.182,0.89,,2025-07-20T14:38:03.726584,0.104,0.299,0.561,0.992,0.937,4735e5d7-e639-4248-9c90-cf058d96491f,0.754,0.0.0,8899.809,0.644,0.117,0.186,813351.01,0.742,,2932.449,0.936,0.999,0.822,0.928
0.07,0.307,,2025-07-20T14:38:03.726792,0.0.0,0.283,0.532,0.761,0.0.0,a0f2fe6a-cc1e-4da7-a8d7-1dc104d9afa7,0.749,0.293,2455.608,0.651,0.939,0.466,696898.755,0.96,0.77,3985.049,0.391,,0.775,0.934
NaN,NaN,,2025-07-20T14:38:03.727035,0.027,0.193,0.77,0.869,0.478,c26faa37-830e-4fdc-a2f1-f54ac98efc7c,0.925,0.149,,0.841,0.923,0.25,797893.273,0.765,0.167,1119.011,0.773,NaN,0.555,0.372
0.252,0.649,,2025-07-20T14:38:03.727294,0.151,0.147,0.62,0.827,NaN,335f45e0-c839-42bf-8b4f-dda388fbbf6f,0.541,0.192,?,,0.509,?,459513.259,0.688,0.171,3079.057,0.863,0.68,0.923,0.734
,0.487,,2025-07-20T14:38:03.727565,0.154,0.174,0.65,0.935,0.996,04673a3a-5ac0-41ab-b1a6-05a63095ffff,0.694,,16763.571,0.574,0.921,0.286,0.0.0,0.572,0.985,3330.365,0.336,0.719,0.358,0.864
0.279,0.968,,2025-07-20T14:38:03.727828,0.195,?,0.646,0.0.0,0.609,be7f6809-f4f9-423c-b034-e0bb93fa5474,NaN,0.271,19493.329,0.98,0.539,0.353,990909.674,0.528,0.338,1372.819,0.301,0.902,0.75,0.324
0.0.0,0.509,,2025-07-20T14:38:03.728112,0.104,,?,0.951,0.875,0b3b8316-df23-4d20-95c4-0fe935343253,,0.025,9314.593,0.937,0.895,0.117,333052.422,0.848,0.503,2260.199,0.986,0.795,0.949,0.501
,0.338,,2025-07-20T14:38:03.728369,0.163,0.123,,0.642,0.591,06298746-5d52-49ee-b160-6b72f7507061,0.542,0.19,2464.362,0.605,0.571,0.378,746554.602,0.524,0.0.0,842.064,0.421,0.177,0.491,0.618
0.177,0.636,,2025-07-20T14:38:03.728608,0.174,0.142,1,0.833,0.415,84dfc2e9-30c9-4059-b127-87f61f173843,0.506,0.202,10670.019,0.677,0.0.0,0.0.0,586617.875,0.701,NaN,4633.578,0.842,0.828,,0.532
0.237,0.741,,2025-07-20T14:38:03.728774,0.085,0.055,0.818,0.662,0.642,6b79eac2-9242-423e-9ce1-31e5ec477a95,0.881,0.268,18902.436,0.888,0.396,0.0.0,0.0.0,,0.722,1485.249,0.301,0.934,0.408,0.447
0.292,0.66,,2025-07-20T14:38:03.728954,?,0.179,0.514,,0.574,fe0ba7f3-fe76-4e75-b632-5b38d37b6806,,0.264,8588.653,0.696,0.268,0.301,351106.454,0.936,0.933,1445.236,,0.907,0.0.0,0.0.0
0.122,0.673,,2025-07-20T14:38:03.729130,0.042,0.251,0.829,,NaN,b260278a-be8a-4e49-8abf-297106ca74b6,0.979,0.066,1849.576,0.851,0.115,0.176,756135.201,0.445,0.835,633.507,0.339,0.337,0.311,?
0.174,0.325,,2025-07-20T14:38:03.729398,0.029,0.147,0.554,0.476,,d0327f8a-5e09-40b5-8b07-98b3ceb036ce,0.313,0.066,8837.7,0.954,0.664,0.009,476140.109,0.806,0.311,,0.743,0.341,0.698,0.593
0.168,0.607,,2025-07-20T14:38:03.729565,0.083,0.154,0.749,0.615,0.726,6f12eb06-0bcd-4d7c-afd9-b9a88a8f6103,0.869,0.153,11555.704,,NaN,0.063,194723.041,0.919,0.942,?,0.353,0.557,0.0.0,0.887
0.066,0.448,,2025-07-20T14:38:03.729791,0.027,0.267,0.863,0.977,0.572,f1a6dbfa-5ee9-4cf8-b6a3-7099b861f13b,,0.222,NaN,0.357,0.891,0.416,132845.575,0.486,0.42,960.784,0.996,,0.922,0.513
0.104,0.661,,2025-07-20T14:38:03.730111,0.01,0.051,0.824,0.868,,1d256829-5384-45f3-824e-e27c74a9c1b9,0.924,0.058,12381.103,0.45,0.921,0.315,589035.228,0.734,0.559,1161.434,0.583,0.841,0.642,NaN
0.208,0.994,,2025-07-20T14:38:03.730290,0.041,,0.94,0.922,0.601,f4b10eb3-5a1b-4445-859f-1453f397d479,0.561,0.161,10712.641,,0.853,0.48,?,0.448,0.629,4187.495,0.366,0.653,0.327,0.85
0.173,0.356,,2025-07-20T14:38:03.730497,?,0.272,0.0.0,0.915,0.695,dc172189-0260-422e-a5bd-1d451ca9a07a,,0.091,19248.883,0.554,0.921,0.109,287669.835,?,0.407,1058.792,?,,0.927,0.757
0.169,0.702,,2025-07-20T14:38:03.730711,0.141,0.082,0.702,0.661,0.571,b3d0d16c-84c5-4f78-85a5-549354a8d772,0.421,0.158,11544.558,0.384,0.0.0,0.258,109293.713,0.691,?,3067.565,,0.655,0.709,0.478
0.124,0.472,,2025-07-20T14:38:03.730967,0.02,?,0.818,0.869,0.412,ded96d59-0272-4f78-9ef2-ba20b55b6714,0.355,0.083,6473.486,0.532,,0.142,NaN,0.53,0.54,3109.489,,0.756,0.713,
0.046,0.44,,2025-07-20T14:38:03.731183,0.048,0.261,0.956,0.912,0.869,4028ab7e-20b2-4726-a6e4-4881b935aa41,0.977,0.195,13104.346,NaN,0.582,NaN,?,0.897,0.294,215.878,,0.354,0.593,0.863
0.245,0.449,,2025-07-20T14:38:03.731392,0.074,0.045,,,0.342,bd7d777d-3f15-4817-8a12-a204f83712bb,0.384,0.137,16174.013,0.452,0.442,0.0.0,9578.027,0.549,0.0.0,4883.027,0.413,0.686,0.534,0.919
0.221,0.751,,2025-07-20T14:38:03.731699,0.061,0.148,0.776,0.844,0.476,6047bb3a-b51c-4fcd-97d2-fcc9dc88e5ee,0.707,0.261,16947.43,0.764,0.418,0.384,855011.937,0.822,0.909,1387.293,0.864,0.91,0.466,0.488
NaN,0.733,,2025-07-20T14:38:03.731966,0.019,0.197,0.822,0.876,0.226,51fa2db9-6832-4059-8908-0bd221f51ada,0.307,0.081,,0.982,0.337,0.452,634833.691,0.599,0.405,1229.143,0.975,0.319,0.699,0.83
0.157,0.89,,2025-07-20T14:38:03.732135,0.082,?,,0.556,0.435,0a8affff-8e08-4013-88f4-db5030c8fad7,0.836,0.168,14682.358,0.925,0.988,0.056,,0.968,,0.0.0,0.63,0.692,0.694,
0.062,0.837,,2025-07-20T14:38:03.732417,,0.119,?,0.562,0.294,53ad2964-81c4-48c8-8f98-600b803e46d6,0.622,0.149,0.0.0,0.804,0.0.0,0.483,647263.328,0.956,0.732,2256.35,0.975,0.383,0.985,0.587
0.299,0.956,,2025-07-20T14:38:03.732748,0.071,0.017,0.661,0.689,0.53,bc173f0e-72de-47ed-afe1-e2f43a7cb6bb,0.0.0,0.13,11751.577,NaN,0.54,0.496,129103.043,0.0.0,0.92,504.769,0.487,0.691,0.857,0.655
0.225,0.488,unexpected,2025-07-20T14:38:03.733065,0.131,0.131,,0.511,0.848,74055d8e-635d-49d6-a97c-7341712910c8,0.966,0.11,15699.903,0.75,0.648,0.076,614989.682,0.908,0.886,4252.97,0.314,0.323,0.522,0.558
0.241,0.708,,2025-07-20T14:38:03.733339,0.198,0.08,?,0.411,0.598,6cd6a76a-de8c-47cb-8415-1e363f2f13a6,0.599,0.157,9350.957,0.919,,0.415,959015.605,0.872,0.767,2401.634,0.515,0.131,0.892,0.661
0.0.0,0.889,,2025-07-20T14:38:03.734003,0.096,0.264,0.562,0.752,0.204,c7ac3d32-5e9e-41e9-9054-a5dc35ef7e96,NaN,0.193,9211.146,0.671,0.597,0.248,138972.323,0.899,?,1664.565,0.222,0.746,0.462,0.88
,0.962,,2025-07-20T14:38:03.734850,0.108,0.235,0.989,,0.894,702e6df0-619a-4eb2-82a1-37a45fe35927,0.644,0.204,4531.623,0.318,0.648,0.339,666115.922,0.768,0.508,3293.366,0.376,0.676,0.0.0,
0.097,0.259,,2025-07-20T14:38:03.735512,0.061,0.167,0.941,0.638,0.968,f87bf228-8aa4-41f0-90bf-2334c5e707cd,0.737,0.208,?,?,0.744,0.178,739779.76,0.74,NaN,856.122,0.288,0.19,0.61,NaN
NaN,0.436,unexpected,2025-07-20T14:38:03.735908,,0.106,0.893,0.886,0.88,1dfb37d7-f388-4d8e-9a4b-b777f4851c24,0.77,0.273,3380.795,0.913,0.925,0.459,763812.554,0.473,NaN,4870.066,0.453,0.923,0.619,0.826
0.277,0.96,,2025-07-20T14:38:03.736257,0.108,0.066,0.695,0.962,0.452,8e7efba4-5787-430a-a4af-93edbad9a407,0.582,0.0.0,16937.294,0.423,,0.316,269841.836,0.425,0.616,316.387,0.334,0.613,0.516,0.647
0.277,0.447,,2025-07-20T14:38:03.736452,0.1,0.049,,0.731,0.567,d56b93f9-d329-45e4-a79a-e4bf7922ad7c,0.479,0.115,757.201,0.764,0.788,0.334,164229.052,0.988,0.279,3791.723,0.44,,0.914,NaN
NaN,0.548,,2025-07-20T14:38:03.736776,,NaN,0.674,0.981,0.81,88d8d86d-01e2-4a08-80f4-a9abea3e84f8,0.805,NaN,10753.56,0.902,0.645,0.194,634806.147,0.68,0.0.0,3176.294,0.424,0.138,0.335,0.734
0.154,0.409,,2025-07-20T14:38:03.737220,0.099,0.195,0.644,0.58,0.679,1200986d-d4ab-4391-819c-b62fe15cd20f,0.674,0.094,12142.323,0.647,0.859,0.333,463397.795,0.445,0.355,1979.885,0.843,0.439,0.813,0.444
0.287,,,2025-07-20T14:38:03.737417,0.089,0.26,0.596,0.664,,88fab9f8-d82c-49ae-90af-135eba0035d1,0.454,0.021,17188.819,,0.964,,211556.275,0.687,0.832,2933.044,0.73,0.489,0.919,0.0.0
0.211,0.534,unexpected,2025-07-20T14:38:03.737621,0.112,0.03,0.744,0.813,NaN,2e183374-a635-46d2-91f6-4b5cfed43959,0.874,0.017,4180.513,0.317,0.859,0.171,901151.508,0.639,?,1403.367,0.581,0.241,0.943,0.629
0.035,0.799,,2025-07-20T14:38:03.738087,?,0.008,0.61,,0.39,13de26c1-6351-47c6-a706-bd164908f702,0.394,0.217,13471.857,0.594,0.68,0.299,381663.113,0.775,0.114,340.429,0.221,0.219,0.719,0.659
0.0.0,0.0.0,,2025-07-20T14:38:03.738847,0.052,0.0.0,0.683,,0.97,3ebc82b4-d7ca-4725-9acb-c702f7e2fc0f,0.595,0.055,7225.643,0.755,0.467,0.347,951780.794,0.453,NaN,2204.273,0.237,0.0.0,0.532,0.989
0.076,0.471,,2025-07-20T14:38:03.739321,0.039,0.235,0.552,0.401,0.654,54eddd02-86ed-449e-84ad-5365bde9da60,0.472,0.166,16904.419,0.833,NaN,0.272,934131.846,0.482,0.406,3462.46,0.541,0.373,0.626,
NaN,0.956,unexpected,2025-07-20T14:38:03.739504,0.063,0.264,0.92,0.835,0.969,2768d812-69ad-449f-aca6-25c6bb1279ab,0.386,0.252,2462.843,0.743,0.237,0.126,,0.647,0.316,2535.166,0.68,0.146,0.957,0.422
0.1,0.0.0,,2025-07-20T14:38:03.739738,0.185,0.214,0.558,0.406,0.568,041a98a0-d650-4089-8bbb-5a9fd6a17ee3,0.697,0.171,2858.868,0.446,,0.249,349526.848,0.843,0.619,4496.94,0.352,0.25,0.549,?
0.118,?,,2025-07-20T14:38:03.740054,0.052,0.086,0.536,0.764,0.839,cba8f29e-a367-4e2f-a58e-01f05a42b948,0.902,0.137,17586.057,,0.641,0.457,232727.153,0.874,,953.738,0.857,NaN,0.642,0.671
0.283,0.878,,2025-07-20T14:38:03.740349,0.051,0.131,0.64,NaN,0.304,20d58ea0-2022-4b22-96a3-7934fa8ce539,0.674,0.062,11510.473,0.414,0.215,0.449,568232.489,0.674,0.72,4562.533,0.0.0,0.524,0.315,0.335
?,0.601,,2025-07-20T14:38:03.740547,0.078,0.279,0.791,,0.468,fdc816e1-7445-44e1-b2d1-1f4eef89310e,0.912,0.0.0,6725.056,0.619,0.907,0.009,54597.11,0.772,0.214,?,0.506,0.795,0.0.0,0.47
0.085,0.944,,2025-07-20T14:38:03.740972,0.194,0.216,0.836,0.442,0.838,667f2a79-aa2a-4322-83be-36b94272c6bb,0.559,0.212,3857.679,0.777,0.644,0.037,649263.392,0.571,0.524,4861.309,0.377,0.471,0.727,?
0.108,0.58,,2025-07-20T14:38:03.741214,0.081,0.222,0.713,0.989,0.225,a18dbee1-af9a-4dbf-92d7-789e79f8213a,0.597,0.093,15599.468,0.338,0.761,0.259,262938.171,0.925,0.332,1325.123,0.953,,0.569,0.508
0.053,NaN,,2025-07-20T14:38:03.741525,0.174,0.012,0.599,0.618,0.833,3b1d15db-ca8a-4949-bd9a-bf6c33b5a8de,0.0.0,0.076,10792.483,0.772,0.164,0.449,178603.627,0.855,0.78,2384.903,0.764,0.835,0.993,0.706
0.065,0.911,,2025-07-20T14:38:03.741951,0.12,0.075,,0.647,0.542,819e35c0-d864-428f-a7a4-9659cbd9ea13,0.344,0.116,14926.704,0.713,0.643,0.015,,0.774,0.436,NaN,0.821,?,0.746,0.475
0.102,0.933,,2025-07-20T14:38:03.742198,0.102,0.0.0,0.967,0.688,0.271,080ce44a-a8b6-42ff-8a8c-195207e47a3d,0.774,0.058,17545.2,0.664,0.748,0.342,249348.068,0.754,0.477,4719.486,0.647,0.782,0.441,0.883
0.118,0.964,,2025-07-20T14:38:03.742500,0.133,0.024,0.0.0,0.671,0.992,9df33518-e3fc-4509-ac4b-05c8fa317522,0.0.0,0.092,6093.876,0.73,0.199,0.449,331651.069,0.631,,?,,0.379,0.424,0.0.0
,0.796,unexpected,2025-07-20T14:38:03.742787,0.156,0.171,0.509,NaN,,215a6dce-9d7e-4f91-b6e7-f2dba171ceba,0.475,0.182,9703.74,0.915,0.397,0.13,980733.35,0.454,0.635,2161.567,0.974,0.953,0.726,NaN
0.111,?,,2025-07-20T14:38:03.743059,0.047,0.173,NaN,0.912,0.851,c3c4b1e3-4543-4e58-8b16-817809d0a552,0.338,0.243,9578.062,,0.646,0.276,327332.91,0.618,0.625,4641.549,0.522,0.843,0.656,0.372
0.213,0.649,,2025-07-20T14:38:03.743244,0.094,0.004,0.902,?,0.948,1e52e427-9ff2-495d-aca6-7e0fb65c04c3,0.83,0.061,,0.346,0.367,0.0.0,686572.107,0.75,0.699,1906.104,0.693,0.39,?,0.619
